id,account,text,date,is_electronics,training_score,training_auc,prod_score,annotation
10,Berge & Berge,"Apple MK0C2ZM/A Pencil for Apple iPad Pro (White) When using iPad Pro, there may be moments when you want even greater precision. So we painstakingly designed Apple Pencil to expand on the versatility of Multi-Touch. And while the technology inside is unlike anything we've ever engineered, picking up Apple Pencil for the first time feels instantly familiar. It lets you make any number of effects, right down to a single pixel, giving you more creative freedom than ever before. Add Apple Pencil. Erase barriers. You may never have seen Apple Pencil before, but you already know how to use it. From the first moment, it does what you expect. And then far more. Whether you're sketching in the park, painting a watercolour portrait, or drafting a blueprint, Apple Pencil gives you a variety of tools in a single instrument. You hold it, but it doesn't hold you back. Highly responsive. Virtually no lag. The lightning-fast responsiveness of Apple Pencil separates it from other creative tools. That's because its latency - the tiny delay between when you begin drawing and the time it appears on the screen -has been reduced to an almost imperceptible level. IPad Pro knows whether you're using your finger or Apple Pencil. When iPad Pro senses Apple Pencil, the subsystem scans its signal at an astounding 240 times per second, giving it twice the data points it normally collects with your finger. This data, combined with Apple-designed software, means that there's only milliseconds between the image you have in your min.",2023-03-22,1,0.0018194998,0.706,1.162316179068009,
11,Berge & Berge,"JaipurCrafts Shiny Black Bumrah 10 Inch - Hookah Pot, Stylish Hookah/New Year Gift Premium 10 Inch Hookah Color:Black   JaipurCrafts Hookahs come in amazing designs and are made using materials of the finest quality to light up any atmosphere. It is a super-convenient product making you enjoy it from the moment you receive it. Our scientific designs enables it to retain and release a decent amount of smoke, allowing for a more enjoyable smoking experience. !!! Unlimited Fun with Minimal Fuss This hookah is easy to set up. It can also be disassembled for convenient storage, making it easy for you to take it along with you even when travelling. Appealing Colors Classy and stylish, this hookah is just perfect for enhancing the look of your glassware collection. With attractive colors, this Hookah can be a surprise gift for your friend. Durable Material JaipurCrafts pay speacial attention in using materials which make your hookahs last for a very long time. Safety First Most of the components used in JaipurCrafts hookahs are heat resistant. Our special smoking pipe allows you take in and blow out a decent amount of smoke so you have the perfect excuse to chill with your friends !!!",2023-01-21,0,0.01694666,0.706,1.1909142320130008,
12,Berge & Berge,"Practice Book Chemistry for JEE Main and Advanced About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proof-readers and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content and updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",2023-01-27,0,0.00019473254,0.706,1.1319015642318409,
13,Berge & Berge,"ANDTRONICS Esynic 3.5"" USB External Floppy Disk Drive Portable 1.44 MB FDD USB Drive Plug and Play for PC Windows 10/7/8, XP, Vista, Mac (Black) External diskette drive with usb interface. Super slim and lightweight, easy to carry, for desktops and laptops read/write 1.44 mb floppy disk usb 1.1/2.0 compatible. Plug & play with windows me/2000/xp/vista/win 7 . Comes in black colour .",2023-02-10,1,0.89359236,0.706,1.1045226703899016,
14,Berge & Berge,SanDisk 128GB Class 10 microSDXC Memory Card with Adapter (SDSQUAR-128G-GN6MA) Size name:128 GB   Water proof,2023-01-03,1,0.9737248,0.706,0.0482518688678079,
15,Berge & Berge,"BIGBRO LDG Ware LED Rechargeable Solar Emergency Light Lantern with USB Mobile Charging, Torch Point, 2 Power Source Solar and Lithium Battery (Assorted) PORTABLE FOLDING LIGHT HAS A USB CHARGING PORT CAN CHARGE WITH SOLAR POWER OR ELECTRICITY NEATLY FOLDS, AND STARTS AUTOMATICALLY ON UNFOLDING IT Retractable Solar Camping Lantern Lamp,6 LED Solar Camping lamp Outdoor Lighting Portable Camp Tent Lamp Rechargeable lantern 6-LED Portable Camping Lantern Outdoor Light Equipment with USB port LED Solar Camping Lights outdoor 4V/12W USB portable Folding tent lamp emergency lights Utilised the power of the sun, Solar Camping Lantern Lamp provides unique night time lighting. Suitable for border lighting or on your next camping trip, the Solar Camping Lantern Lamp is a versatile and environmentally friendly way to light up your evenings! Feature: Unique Stretch switch, pull up is switch-on, Press down is switch-off, easy to use With two flexible handle for easy to hang and carry Capable of standing up securely on a flat surface to serve as a candle Solar High-Quality rechargeable",2023-03-11,0,0.021088233,0.706,1.1490121634148247,
16,Berge & Berge,"Varmora Designer Chair Set of 4 (Club Handle - Brown) Contemporary & modern,heavy duty with arm chair with web design,solid,attractive colors,outdoor & cafeteria, seating,comfortable and handle are dis-connectable",2023-01-10,0,0.00063976063,0.706,1.1359889844642248,
17,Berge & Berge,"500pcs 12mm Rhombus Shape Glass Beads for DIY & Craft, Mosaic Art, Mosaic Making. Size:12 mm   *** Size *** 12 Millimeters (1.2 Centimeters) ***Quantity*** 500 pieces *** Colour *** Front Mirror & Back Side Green",2023-03-29,0,0.5256873,0.706,0.0404939594296911,
18,Berge & Berge,"21 Lessons for the 21st Century Review “The human mind wants to worry. This is not necessarily a bad thing—after all, if a bear is stalking you, worrying about it may well save your life. Although most of us don’t need to lose too much sleep over bears these days, modern life does present plenty of other reasons for concern: terrorism, climate change, the rise of A.I., encroachments on our privacy, even the apparent decline of international cooperation. In his fascinating new book, 21 Lessons for the 21st Century, the historian Yuval Noah Harari creates a useful framework for confronting these fears. While his previous best sellers, Sapiens and Homo Deus, covered the past and future respectively, his new book is all about the present. The trick for putting an end to our anxieties, he suggests, is not to stop worrying. It’s to know which things to worry about, and how much to worry about them. . . . Harari is such a stimulating writer that even when I disagreed, I wanted to keep reading and thinking. . . . [Harari] has teed up a crucial global conversation about how to take on the problems of the twenty-first century.”—Bill Gates, The New York Times Book Review“If there were such a thing as a required instruction manual for politicians and thought leaders, Israeli historian Yuval Noah Harari’s 21 Lessons for the 21st Century would deserve serious consideration. In this collection of provocative essays, Harari, author of the critically praised Sapiens and Homo Deus, tackles a daunting array of issues, endeavoring to answer a persistent question: ‘What is happening in the world today, and what is the deep meaning of these events?’ . . . Harari makes a passionate argument for reshaping our educational systems and replacing our current emphasis on quickly outdated substantive knowledge with the ‘four Cs’—critical thinking, communication, collaboration and creativity. . . . Thoughtful readers will find 21 Lessons for the 21st Century to be a mind-expanding experience.”—BookPage (top pick) “A sobering and tough-minded perspective on bewildering new vistas.”—Booklist (starred review)  “Magnificently combining historical, scientific, political, and philosophical perspectives, Harari . . . explores twenty-one of what he considers to be today’s ‘greatest challenges.’ Despite the title’s reference to ‘lessons,’ his tone is not prescriptive but exploratory, seeking to provoke debate without offering definitive solutions. . . . Within this broad construct, Harari discusses many pressing issues, including problems associated with liberal democracy, nationalism, immigration, and religion. This well-informed and searching book is one to be savored and widely discussed.”—Publishers Weekly (starred review) “A highly instructive exploration of ‘current affairs and . . . the immediate future of human societies.’ Having produced an international bestseller about human origins and avoided the sophomore jinx writing about our destiny, Harari proves that he has not lost his touch, casting a brilliantly insightful eye on today’s myriad crises, from Trump to terrorism, Brexit to big data. . . . [In] twenty-one painfully astute essays, he delivers his take on where our increasingly ‘post-truth’ world is headed. Human ingenuity, which enables us to control the outside world, may soon re-engineer our insides, extend life, and guide our thoughts. Science-fiction movies get the future wrong, if only because they have happy endings. Most readers will find Harari’s narrative deliciously reasonable, including his explanation of the stories (not actually true but rational) of those who elect dictators, populists, and nationalists. His remedies for wildly disruptive technology (biotech, infotech) and its consequences (climate change, mass unemployment) ring true, provided nations act with more good sense than they have shown throughout history. Harari delivers yet another tour de force.”—Kirkus Reviews (starred review)  About the Author Born in Haifa, Israel, in 1976, YUVAL NOAH HARARI received his PhD from the University of Oxford in 2002, and is currently a lecturer at the Department of History, the Hebrew University of Jerusalem. Published in 2014, Sapiens: A Brief History of Humankind has become an international hit and is published in nearly 40 languages worldwide. It was listed on the Sunday Times bestseller list for over six months in paperback, and was a New York Times top 10 bestseller. In 2016, Harari published Homo Deus: A Brief History of Tomorrow, which was also a widely hailed international bestseller. He lectures around the world on the topics explored in his books and articles, and has written for newspapers such as the Guardian, Financial Times, The Times and the Wall Street Journal. He also offers his knowledge and time to various organizations and audiences on a voluntary basis. 				    	 					              See all Product description",2023-02-09,0,0.0016045833,0.706,0.9290365950652846,
19,Berge & Berge,Metier 12 Inch Tall Glass Smoking Hookah with Metal Plate/AshCatcher and Ceramic Chillum/Bowl. Color Name:Black & Golden   This is 12 Inch Tall Glass Smoking Hookah With Metal Plate/ AshCatcher And Ceramic Chillum/ Bowl.,2023-01-07,0,0.75230455,0.706,1.1042994782073705,
20,Berge & Berge,"SCW Advanced Brass Floor Trap Pop-up (Silver, 6-inch) Product : stainless steel popup floor drain (Silver) these products are widely used for drainage of floor areas. These products are made available in different sizes. This product is made from stainless steel material. The product in display is floor grating made of stainless steel, which comes with matt finish and finished in silver colour. The product measures 15.24 cm x 15.24 cm x 5.08 cm and is dust proof. Brand : SCW is a premium brand SCW is a leading brand in india. We follow the best selection system to find a best product and that is ""personal experience of it"". We have selected such product after our due experience.",2023-03-16,0,0.00067273545,0.706,1.090723723982912,
21,Berge & Berge,MBTC Cadbury Cafeteria/Bar Stool in Black Color:Black   Enjoy legendary drinking nights at home with the MBTC Bar Stool The MBTC's sleek solid frame places it a class above your everyday bar stool Pair it with any UL bar unit to create a classy corner to entertain at home Made of high grade upholstery leatherette,2023-01-30,0,0.17966346,0.706,0.0611759823953039,
22,Berge & Berge,"Olympiad Books Practice Sets -  English Class 7  for 2018 - 19 About the Author An editorial team of highly skilled professionals at Arihant, works hand in glove to ensure that the students receive the best and accurate content through our books. From inception till the book comes out from print, the whole team comprising of authors, editors, proofreaders and various other involved in shaping the book put in their best efforts, knowledge and experience to produce the rigorous content the students receive. Keeping in mind the specific requirements of the students and various examinations, the carefully designed exam oriented and exam ready content comes out only after intensive research and analysis. The experts have adopted whole new style of presenting the content which is easily understandable, leaving behind the old traditional methods which once used to be the most effective. They have been developing the latest content & updates as per the needs and requirements of the students making our books a hallmark for quality and reliability for the past 15 years.",2023-02-10,0,0.00016374596,0.706,1.117907494493481,
23,Berge & Berge,"AJ FASHIONS Cotton Lycra Cycling Black Shorts for Girls/Women/Ladies - Pack of 3 This Pack of 3 Cotton Lycra Shorts By AJ FASHIONS will be an ideal pick for women seeking comfort and Soft. Made of Stretchable Fabric, these Sports cycling short will make you feel Awesome and Comfortable.",2023-01-08,0,0.041633148,0.706,1.1385304195081192,
24,Berge & Berge,"ThermoPro TP01A Instant Read Thermometer with Long Probe Digital Meat Thermometer for Grilling BBQ Smoker Food Cooking Candy Thermometer for Deep Fry Oil Thermometer ThermoPro: Cook Like A Pro Every Time! The ThermoPro TP-01A food thermometer is an easy and effective way to get the most accurate temperature in a matter of seconds. With a simplistic yet practical design which features a Large LCD display and 5.35"" super long food grade stainless steel probe with Step-down Tip to ensure an ultra-fast 4-7 seconds response time and accurate reading. The super long probe can also keep your hands away from the heat when cooking at the grill or in the oven. It’s the best way to know whether your grilled food is cooked to a safe internal temperature, as well as to your preferred doneness. You can easily switch between Celsius or Fahrenheit. By using this grill thermometer, you can ensure the perfect temp every time you're grilling or cooking and make your meal taste like they were prepared by a professional.BBQ Thermometer Features:- Unique Fast Reading system achieves an accurate temperature reading within 4 - 7 seconds- 5.35"" super long food grade stainless steel probe with Step-down Tip keep your hands away from the heat when cooking at the grill or in the oven- Ultra-clear screen LCD display with blue backlight help you to see the reading more clearly - Temperature Hold button to lock the current reading for 15s- Celsius/Fahrenheit selector - Battery power saving designCooking Thermometer Specifications:- Probe Length: 5.35"" food grade stainless steel probe- Temperature Range: -58°F to 572°F (-50°C to 300°C)- Temperature Accuracy: ±0.9°F (±0.5°C) from 32 to 212°F (0 to 100°C) - Uses: BBQ, Oven, Smoker, Roast, Beef Steak, Pork Chop, Gravy, Soup, Turkey, Candy, Meat, Food, Liquid, Milk, Coffee, Juice, bath water for baby carePackage Contents: 1 x Digital Thermometer1 x Manual2 x AG13 (also named LR44) batteryCAUTION：Do NOT leave in an oven.",2023-03-19,0,0.019535521,0.706,1.0433825213672572,
25,Berge & Berge,"Decals Design 'Floral Branch with Realistic Flowers' Wall Sticker (PVC Vinyl, 50 cm x 70 cm) Ideal for family lounge, bedroom, cafe and restaurant, kids room, nursery room etc. PVC, non-toxic and waterproof. These wall stickers decorate your home just in minutes. Easy installation the surface you wish to attach your decal must be clean and free from dust, grease or any other contamination. Simply peel those pre-cut pieces of wall stickers off from the backing paper and apply them to the desired area. Refer to the finished design shown in between the sheet and follow the numbers mentioned on the pieces to form the desired pattern. Freshly painted or lacquered surfaces must be allowed to completely cure for minimum 30 days before the decal is applied. After pasting the wall stickers on your wall, press firmly along the border and remove air bubbles if any. Repeat, if required. Do not apply on wet walls. It will be helpful and fun if you take help of your friends or family members.",2023-03-15,0,0.002401195,0.706,1.0803649357719638,
26,Berge & Berge,"The Archaeology of Knowledge: And the Discourse on Language From the Back Cover Madness, sexuality, power, knowledge-are these facts of life or simply parts of speech? In a series of works of astonishing brilliance, historian Michel Foucault excavated the hidden assumptions that govern the way we live and the way we think. The Archaeology of Knowledge begins at the level of 'things said' and moves quickly to illuminate the connections between knowledge, language, and action in a style at once profound and personal. 				    	 					 About the Author Michel Foucault, one of the leading philosophical thinkers of the 20th century, was born in Poitiers, France, in 1926. He lectured in universities throughout the world; served as director at the Institut Français in Hamburg, Germany and at the Institut de Philosophie at the Faculté des Lettres in the University of Clermont-Ferrand, France; and wrote frequently for French newspapers and reviews. His influence on generations of thinkers in the areas of sociology, queer theory, cultural studies, and critical thinking are not to be underestimated. Among his many books were the Foucault Reader, Society Must Be Defended, and Great Ideas. At the time of his death in June 1984, he held a chair at France's most prestigious institutions, the Collège de France. Foucault was the first public figure in France to die from HIV/AIDS.",2023-02-19,0,0.0013338907,0.706,0.0790943397275872,
27,Berge & Berge,Trueman's Elementary Biology for Class 12 and NEET - Vol. 2 (2018 Edition) About the Author K.N. Bhatia and M.P. Tyagi have co-authored two books on biology which cater to CBSE students of class XII and those studying for various medical entrance tests. They have also written Trueman's Elementary Biology - Vol. I together.,2023-03-06,0,0.00056879135,0.706,0.0753117408658432,
28,Berge & Berge,"Hindustani Saudagar Microwave Safe Hand Painted Ceramic Single Tea Pot Kettle Set 250 Ml Blue & Yellow Color Set Excellent Gift for Any Occasion: Holidays, Anniversaries, Appreciation Prepare tea,either in a tea kettle or a heat resistant cup you heat water almost to the boiling point. Turn it off and let it cool for one minute. Put the amount of tea according to your taste or instructions into the teapot. Pour the water into the tea and cover the teapot. Let it steep -depending on the tea and how concentrated you like it- from two to four minutes. Serve. It is now ready to be enjoyed. Remember that the longer you let white, green or black tea steep, the more bitter it will be.legal disclaimer: dear customer, we have not given any authority to any other sellers to sell "" hindustani saudagar "" products and that the ""seller hindustani saudagar"" is the sole owner of the brand hindustani saudagar. If you receive this product by any seller other than us, i.e. Hindustani saudagar then please note that it is not a hindustani saudagar branded kettle, and that we are not responsible for bad quality, damage, or any other issue that gives a bad buying experience.",2023-02-27,0,0.0049815346,0.706,0.0229153049037445,
29,Berge & Berge,"Cracking the Coding Interview: 189 Programing Questions and Solutions About the Author Gayle Laakmann McDowell is the founder and CEO of CareerCup and the author of Cracking the PM Interview and Cracking the Tech Career.   Her background is in software development. She has worked as a software engineer at Google, Microsoft, and Apple. At Google, she interviewed hundreds of software engineers and evaluated thousands of hiring packets on the hiring committee. She holds a B.S.E. and M.S.E. in computer science from the University of Pennsylvania and an MBA from the Wharton School.   She now consults with tech companies to improve their hiring process and with startups to prepare them for acquisition interviews.",2023-01-23,0,0.00026137714,0.706,0.0779907645686674,
30,Berge & Berge,"Hindware F100024QT Contessa Sink Tap with Swivel Casted Spout Wall Mounted Model (Chrome) Graceful, balanced and impeccably crafted, the Contessa range draws its inspiration from the purest form of water flow. Capturing the beauty of natural designs, this faucet range turn heads with its stunning design and understated elegance. This range is for people who love faucets to add a touch of individuality and indulgence to their bathrooms and kitchens. As always with Hindware, this collection too guarantees a lifetime of smooth and easy handling.",2023-03-09,0,0.0005012058,0.706,0.0985123673113383,
31,Berge & Berge,"Suttalife Premium Quality Retro Party Canadian Egyptian Heighted Sheesha Hookah Blue Colour 20 Inches Height Color:I - 1 - BLUE   Suttalife Is The Name For Which You Are Looking For. It Has Both Design And Fun. Our Sheesha Can Convert Any Lame Party Into Heavy Carousels. Moreover, It Is Designed In Such Wa Way That It Fits For For Home Decor Too. Our Durability Makes Us Different From Other Hookah Suppliers. Designed In Such A Way That It Gives Lavish Look At The Same Side Very Portable Too. Made Up With Refined Materials Gives An Extra Edge And Extra Smoke While Smoking Our Sheesha. As It Goes Quench Of Fun Never Ends We Tried It Using Our Suttalife Sheesha Hookah.",2023-03-03,0,0.005173868,0.706,1.0095134249839255,electronics
32,Berge & Berge,"Sapper Girls Printed Cotton Regular Shorts SAPPER printed shorts, featuring mid thigh length and regular fit pattern. made from cotton fabric for maximum comfort.",2023-01-24,0,0.4591681,0.706,1.1071007317674466,
33,Berge & Berge,"Pixie Western Wear Capri Leggings | 3/4th | Pants | Combo Pack of 3 for Women/Girls/Ladies (Black, Dark Brown and Maroon) - Free Size Brand: Pixie, Fabric: Cotton Lycra Bio-Washed 220 GSM, Size: Free Size - fit to the waist size between 28 inches to 34 inches, Length: 26 inches, Type: 3/4th Capri LeggingsPixie is a design focused women's wear brand, where fashion meets technology. The blends of colors and style takes the brand to fashion circuits without compromising its performance aspect during the day. Pixie capris are perfect for indoor as well as outdoor functions. Cotton Lycra Bio-Washed 220 GSM fabric is a perfect balance of lightness and elasticity. The shape retention technology keeps the fabric in shape even after several washes. The four way stretch has a capacity to stretch over 150% of its actual size. Naturally breathable fabric makes it sweat absorbent. The Excellent UV protection is good for any outdoor activity. Fabric is resistant making it soft and pleasant to touch. Ultra comfortable and stylish for day and night outs.Disclaimer:Product colour may slightly vary due to photographic lighting sources or your monitor settings. To purches Pixie branded products, purches only from Pixie Shopp.",2023-03-19,0,0.013932462,0.706,0.0321096202157411,
34,Berge & Berge,Amkette Xcite Pro USB Keyboard (Black) The new Xcite Pro keyboard from Amkette comes with special shortcut keys for quick and easy access to all the popular multimedia and internet functions. With the spill resistant keyboard design and soft feel keys; Amkette Xcite PRO Keyboard provides the supreme comfort and ultimate typing experience.,2023-01-23,1,0.3253932,0.706,1.2142800353487266,
35,Berge & Berge,"Urban Snackers Jug 23 cl, White Porcelain Jug, For Serving Water, Coffee, Tea, Beverage|Gifting Accessories|In Hotels, Kitchen, Home, Restaurant Size:23 Cl   Classic porcelain creamer in white, simply is a cost effective tableware range, which offers an outstanding combination of quality and value. Simply tableware is Microwavable and Dishwasher safe..",2023-01-26,0,0.013521816,0.706,0.0605277253050999,
36,Berge & Berge,RRB Junior Engineer 2018-19 : Chapter-wise & Year-wise Solved Papers 2014 & 15 (17 Sets),2023-02-04,0,0.02713681,0.706,0.1387500810623157,
37,Berge & Berge,Satyam Kraft (Pack Of 8)Hexagon Glass Jar And Container(220 ml) With Rust Proof Air Tight Lid,2023-02-26,0,0.00086228683,0.706,0.0071682598707659,
38,Berge & Berge,"Ritu-Creation Women's/Girl's Strapless Stretchable Long Bandeau Tube Top Camisole (Free Size) Pack of 2, Black/Beige This basic long tube top is a great piece for layering, utilizing as an undergarment, or to pair up with a simple workout outfit! .Constructed with seamless and soft material, the top effortlessly creates the perfect comfortable fit that allows a large range of active movements. This garment is constructed to be more elongated for extra comfort and support for the lower body. The material absorbs sweat well and doesn't make you feel sticky and wet. To ensure a supportive and secured fit, this top is designed with ribbed sides that will help enhance the body shape while holding the top in place. The durable yet breathable fabrication promises any body figures to slip into the tube top without any struggles. No stress at all when you wearing these to work place.Super comfortable and they stay in place. Need a light cover-up for your strapless dress? Looking for a new, attractive active wear? This tube top offers everything you need.",2023-03-16,0,0.112976864,0.706,1.0366867843127738,
39,Berge & Berge,"V Guard Victo Plus 15 Litre Water Heater-Free Installation With Inlet and Outlet Pipe; Digital Display Bring home the comfort of hot water with Victo Plus, the new-age geyser from V-Guard. Available in four capacities - 6 L, 10 L, 15 L, and 25 L - it is elegantly styled and highly energy-efficient, perfect for modern households. With a strong, reliable build and advanced technology, Victo Plus creates a stress-free and user-friendly experience. It’s time to make soothing, hot water indulgences a daily affair!",2023-01-31,0,0.0041037435,0.706,1.102184667768606,
40,Berge & Berge,"Frontech 4.7 GB 5001 FD Blank DVD-R - 50 Pcs This DVD offers wide compatibility, stable writing and temperature adaptability. Optical media 4.7 GB and 120 Min 50 pkt (FT).",2023-03-29,1,0.86764634,0.706,0.1325794389828509,
41,Berge & Berge,Perfect Magnet Nickel Plated Squarical Shaped Magnets- Pack of 10 (10 x 10 x 2 mm) This pack of 10 nickel plated magnets are convenient to use and are very helpful.,2023-01-15,0,0.015781546,0.706,0.1176124362639331,
